"child_sex","Expo_family","Exposure","Gene","Hg19","No. of probes","Slk p-value","Sidak p-value","Direction of effect"
"Males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","PCK2;PCK2;PCK2;PCK2","chr14:24563183-24563276",5,"5.88e-08","4.76e-04","-"
"Males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","SP9","chr2:175199576-175199804",7,"3.31e-08","1.09e-04","+"
"Males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","UCP1","chr4:141489963-141490429",8,"2.32e-18","3.75e-15","+"
"Males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","ZC3H12D","chr6:149806502-149806660",4,"6.62e-08","3.15e-04","-"
"Males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","ZIC1","chr3:147126638-147126764",4,"2.75e-08","1.64e-04","+"
"Males","Phthalate","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)","EPDR1","chr7:37960873-37960975",3,"2.15e-11","1.59e-07","+"
"Males","Phthalate","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)","GPR81","chr12:123215151-123215309",5,"8.76e-12","4.17e-08","+"
"Males","Phthalate","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)","CYP1A1","chr15:75019143-75019303",7,"2.24e-08","1.06e-04","+"
"Males","Phthalate","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)","H2AFY2","chr10:71812265-71812631",9,"2.66e-15","5.48e-12","+"
"Males","Phthalate","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)","PPAP2C;PPAP2C;PPAP2C","chr19:291239-291316",5,"3.75e-08","3.66e-04","+"
"Males","Phthalate","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)","UCP1","chr4:141489799-141490429",10,"3.93e-25","4.70e-22","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","","chr10:22765209-22765646",2,"9.53e-15","1.64e-11","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","","chr18:77336130-77336268",4,"7.54e-08","4.11e-04","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","","chr4:1400189-1400265",4,"2.60e-10","2.57e-06","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","CYP1A1","chr15:75019070-75019303",9,"4.57e-10","1.48e-06","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","GPR81","chr12:123215151-123215309",5,"3.20e-10","1.52e-06","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","H2AFY2","chr10:71812265-71812407",6,"1.05e-08","5.56e-05","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","IRX5;IRX5","chr16:54965034-54965143",6,"1.06e-08","7.31e-05","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","NGB;NGB","chr14:77737495-77737801",6,"4.36e-12","1.07e-08","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","SLIT3","chr5:168727686-168727784",5,"6.46e-08","4.96e-04","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","UBE2U","chr1:64669336-64669492",7,"3.11e-08","1.50e-04","+"
"Males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","UCP1","chr4:141489963-141490429",7,"2.05e-14","3.32e-11","+"
"Males","Phenol","Bisphenol S (BPS)","GNASAS;GNAS","chr20:57414407-57414746",6,"2.93e-10","6.51e-07","+"
"Males","Phenol","Butylparaben (BUPA)","ANKRD30B","chr18:14748128-14748440",8,"9.58e-14","2.31e-10","+"
"Males","Phenol","Butylparaben (BUPA)","CTNNA2;CTNNA2;CTNNA2;CTNNA2;CTNNA2;CTNNA2","chr2:80752937-80752968",3,"2.28e-08","5.54e-04","-"
"Males","Phenol","Butylparaben (BUPA)","ENOSF1;ENOSF1;ENOSF1","chr18:713071-713206",4,"4.79e-08","2.67e-04","-"
"Males","Phenol","Butylparaben (BUPA)","KCNJ8","chr12:21927773-21927991",8,"7.18e-11","2.48e-07","-"
"Males","Phenol","Butylparaben (BUPA)","NKAPL","chr6:28227068-28227128",6,"7.71e-08","9.66e-04","+"
"Males","Phenol","Butylparaben (BUPA)","TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4","chr18:52989025-52989246",6,"8.82e-09","3.00e-05","+"
"Males","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","ADAMTS8","chr11:130298854-130298908",4,"1.24e-07","1.73e-03","-"
"Males","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","MARVELD2;MARVELD2","chr5:68710808-68710913",6,"1.86e-09","1.33e-05","+"
"Males","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","TNFAIP8","chr5:118603804-118603939",4,"1.26e-07","7.01e-04","+"
"Males","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","C2;C2;CFB","chr6:31913250-31913810",6,"3.84e-18","5.16e-15","+"
"Males","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","SEPT4;SEPT4","chr17:56609534-56609688",6,"1.02e-13","4.99e-10","+"
"Males","Phthalate","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)","","chr11:94245440-94245585",4,"1.23e-07","6.37e-04","+"
"Males","Phthalate","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)","","chr11:94245440-94245585",4,"1.54e-07","7.99e-04","+"
